time,pm1,pm2,pm10
17:54:38,2,14,0
17:54:39,12,10,20
17:54:40,10,20,6
17:54:41,3,12,9
17:54:42,11,20,0
17:54:43,2,19,19
17:54:44,16,16,7
17:54:45,5,16,20
17:54:46,5,17,16
17:54:47,13,7,13
17:54:48,20,6,5
17:54:49,15,9,20
17:54:50,5,7,7
17:54:51,13,4,10
17:54:52,17,4,5
17:54:53,18,10,9
17:54:54,16,8,18
17:54:55,0,3,3
17:54:56,19,1,1
17:54:57,20,18,17
17:54:58,17,20,10
17:54:59,16,3,18
17:55:00,18,5,11
17:55:01,19,14,15
17:55:02,1,10,2
17:55:03,18,12,7
17:55:04,7,11,20
17:55:05,6,5,15
17:55:06,10,1,7
17:55:07,1,6,2
17:55:08,0,18,10
17:55:09,1,18,11
17:55:10,14,2,5
17:55:11,14,8,0
17:55:12,3,20,10
17:55:13,6,1,14
17:55:14,5,15,2
17:55:15,18,5,13
17:55:16,9,0,4
17:55:17,11,9,19
17:55:18,6,7,5
17:55:19,12,16,0
17:55:20,13,0,15
17:55:21,0,7,5
17:55:22,6,5,4
17:55:23,11,1,17
17:55:24,9,8,16
17:55:25,17,12,13
17:55:26,18,1,6
17:55:27,5,10,8
17:55:28,7,16,8
17:55:29,16,4,11
17:55:30,15,8,13
17:55:31,17,1,17
17:55:32,12,15,8
17:55:33,1,20,5
17:55:34,7,9,17
17:55:35,10,9,7
17:57:19,11,5,20
17:57:20,4,5,4
17:57:21,19,7,19
17:57:22,13,4,11
17:57:23,6,16,17
17:57:24,0,20,0
17:57:25,3,7,1
17:57:26,19,13,4
17:57:27,4,4,17
17:57:28,5,5,14
17:57:29,3,17,6
17:57:30,15,17,10
17:57:31,13,13,9
17:57:32,11,17,3
17:57:33,18,11,13
17:57:34,8,1,1
17:57:35,14,5,6
17:57:36,17,19,11
17:57:37,18,17,6
17:57:38,16,1,5
17:57:39,14,12,11
17:57:40,0,0,17
17:57:41,9,9,12
17:57:42,14,11,8
17:57:43,3,4,18
17:57:44,14,1,19
17:57:45,4,2,7
17:57:46,6,12,6
17:57:47,3,2,17
17:57:48,17,5,12
17:57:49,20,13,4
17:57:50,12,0,3
17:57:51,5,14,15
17:57:52,9,7,12
17:57:53,10,10,19
17:57:54,13,14,5
17:57:55,10,19,17
17:57:56,6,10,12
17:57:57,3,20,13
17:57:58,6,5,11
17:57:59,1,5,9
17:58:00,6,19,9
17:58:01,2,19,3
17:58:02,15,7,16
17:58:03,4,16,20
17:58:04,14,20,6
17:58:05,7,19,2
17:58:06,18,1,13
17:58:07,9,11,4
17:58:08,19,13,13
17:58:09,1,3,5
17:58:10,10,11,19
17:58:11,5,1,6
17:58:12,8,19,17
17:58:13,5,17,14
17:58:14,16,3,12
17:58:15,17,8,9
17:58:16,13,16,3
17:58:17,6,17,0
17:58:18,3,0,10
17:58:19,9,15,13
17:58:20,0,13,12
17:58:21,3,1,14
17:58:22,19,7,1
17:58:23,8,3,18
17:58:24,18,14,0
17:58:25,0,9,9
17:58:26,17,19,2
17:58:27,9,12,17
17:58:28,1,7,0
17:58:29,3,5,12
17:58:30,11,1,10
17:58:31,13,6,3
17:58:32,17,17,12
17:58:33,19,19,16
17:58:34,20,2,0
17:58:35,20,10,2
17:58:36,6,14,16
17:58:37,1,12,16
17:58:38,6,15,6
17:58:39,1,5,12
17:58:40,20,9,13
17:58:41,6,7,0
17:58:42,13,7,9
17:58:43,8,0,19
17:58:44,1,7,3
17:58:45,10,12,6
17:58:46,12,11,10
17:58:47,18,19,1
17:58:48,18,12,4
17:58:49,18,17,13
17:58:50,8,4,2
17:58:51,14,8,10
17:58:52,19,15,2
17:58:53,6,17,11
17:58:54,1,10,6
17:58:55,5,18,6
17:58:56,11,9,13
17:58:57,18,1,6
17:58:58,10,0,1
17:58:59,10,0,2
17:59:00,2,3,17
17:59:01,1,11,10
17:59:02,16,17,4
17:59:03,7,4,19
17:59:04,2,7,7
17:59:05,4,10,20
17:59:06,7,7,14
17:59:07,8,12,18
17:59:08,14,3,3
17:59:09,14,20,11
17:59:10,4,16,13
17:59:11,16,17,17
17:59:12,10,14,19
17:59:13,11,1,19
17:59:14,19,17,1
17:59:15,14,10,11
17:59:16,2,15,8
17:59:17,9,6,8
17:59:18,9,20,18
17:59:19,1,15,2
17:59:20,9,3,11
17:59:21,12,12,0
17:59:22,18,11,19
17:59:23,12,6,10
17:59:24,0,8,9
17:59:25,8,13,13
17:59:26,18,11,0
17:59:27,5,20,8
17:59:28,6,20,17
17:59:29,14,17,10
17:59:30,5,4,1
17:59:31,5,4,8
17:59:32,2,16,6
17:59:33,2,8,15
17:59:34,3,9,17
17:59:35,9,0,13
17:59:36,0,18,4
17:59:37,15,2,0
17:59:38,14,3,3
17:59:39,18,0,6
17:59:40,18,0,1
17:59:41,18,18,14
17:59:42,18,0,16
17:59:43,7,14,9
17:59:44,15,3,2
17:59:45,16,2,9
17:59:46,15,12,3
17:59:47,12,3,3
17:59:48,17,11,17
17:59:49,12,15,8
17:59:50,6,13,11
17:59:51,3,16,11
17:59:52,3,7,15
17:59:53,5,6,14
17:59:54,0,14,4
17:59:55,11,16,9
17:59:56,4,7,2
17:59:57,10,14,0
17:59:58,11,17,18
17:59:59,17,7,16
18:00:00,8,17,3
18:00:01,14,1,12
18:00:02,14,15,5
18:00:03,2,2,6
18:00:04,3,13,19
18:00:05,16,16,17
18:00:06,18,15,10
18:00:07,14,15,17
18:00:08,16,7,6
18:00:09,15,11,8
18:00:10,2,16,12
18:00:11,17,5,6
18:00:12,6,1,15
18:00:13,20,11,3
18:00:14,9,0,12
18:00:15,0,4,6
18:00:16,17,0,15
18:00:17,8,4,2
18:00:18,18,12,10
18:00:19,8,2,7
18:00:20,8,6,8
18:00:21,2,15,3
18:00:22,3,17,11
18:00:23,4,4,6
18:00:24,3,13,14
18:00:25,17,3,17
18:00:26,3,8,2
18:00:27,9,3,10
18:00:28,14,5,5
18:00:29,8,18,2
18:00:30,12,15,1
18:00:31,3,7,5
18:00:32,11,9,9
18:00:33,19,4,14
18:00:34,19,17,15
18:00:35,8,14,9
18:00:36,10,17,17
18:00:37,2,4,14
18:00:38,7,16,5
18:00:39,5,9,4
18:00:40,13,6,16
18:00:41,11,11,12
18:00:42,7,7,2
18:00:43,18,7,19
18:00:44,0,9,4
18:00:45,20,13,8
18:00:46,16,1,15
18:00:47,13,20,15
18:00:48,17,10,1
18:00:49,19,5,17
18:00:50,2,17,10
18:00:51,5,6,2
18:00:52,2,7,15
18:00:53,19,3,12
18:00:54,10,14,5
18:00:55,7,0,20
18:00:56,8,4,0
18:00:57,5,2,4
18:00:58,19,20,12
18:01:00,10,18,13
18:01:01,4,4,3
18:01:02,14,15,6
18:01:03,2,8,9
18:01:04,5,12,12
18:01:05,8,17,14
18:01:06,20,13,14
18:01:07,1,9,2
18:01:08,14,11,19
18:01:09,6,14,11
18:01:10,3,2,6
18:01:11,2,13,19
18:01:12,0,16,9
18:01:13,1,14,20
18:01:14,6,7,16
18:01:15,19,10,7
18:01:16,15,0,9
18:01:17,6,16,19
18:01:18,15,2,4
18:01:19,2,11,2
18:01:20,4,2,5
18:01:21,15,11,17
18:01:22,15,19,3
18:01:23,7,14,14
18:01:24,14,19,9
18:01:25,15,17,16
18:01:26,11,2,5
18:01:27,2,20,20
18:01:28,11,8,4
18:01:29,18,20,6
18:01:30,14,8,11
18:01:31,5,6,0
18:01:32,9,15,19
18:01:33,20,0,9
18:01:34,8,13,10
18:01:35,6,3,14
18:01:36,1,13,0
18:01:37,14,11,3
18:01:38,1,13,20
18:01:39,7,13,13
18:01:40,15,13,15
18:01:41,4,4,7
18:01:42,19,12,17
18:01:43,11,1,7
18:01:44,12,1,6
18:01:45,2,18,9
18:01:46,17,9,2
18:01:47,13,6,18
18:01:48,11,3,15
18:01:49,19,5,5
18:01:50,19,6,16
18:01:51,5,7,2
18:01:52,0,5,5
18:01:53,17,1,2
18:01:54,15,6,9
18:01:55,8,0,19
18:01:56,11,4,12
18:01:57,15,18,15
18:01:58,19,11,19
18:01:59,7,1,0
18:02:00,2,0,6
18:02:01,18,19,5
18:02:02,15,4,13
18:02:03,8,19,15
18:02:04,2,9,11
18:02:05,7,9,4
18:02:06,6,8,8
18:02:07,16,19,17
18:02:08,2,12,1
18:02:09,12,20,17
18:02:10,12,20,3
18:02:11,7,16,0
18:02:12,19,6,17
18:02:13,16,2,13
18:02:14,11,15,2
18:02:15,13,19,2
18:02:16,2,4,19
18:02:17,2,9,16
18:02:18,2,5,8
18:02:19,14,13,8
18:02:20,0,15,4
18:02:21,20,0,16
18:02:22,13,14,15
18:02:23,6,14,16
18:02:24,11,3,3
18:02:25,4,15,6
18:02:26,6,14,11
18:02:27,11,20,3
18:02:28,0,10,10
18:02:29,0,6,7
18:02:30,19,17,10
18:02:31,11,11,0
18:02:32,20,13,6
18:02:33,13,17,1
18:02:34,12,12,14
18:02:35,5,18,3
18:02:36,13,15,0
18:02:37,14,14,13
18:02:38,5,9,15
18:02:39,14,2,19
18:02:40,13,19,2
18:02:41,7,19,8
18:02:42,13,10,20
18:02:43,2,7,19
18:02:44,20,5,13
18:02:45,7,5,13
18:02:46,13,18,18
18:02:47,8,1,5
18:02:48,12,20,11
18:02:49,15,9,8
18:02:50,10,15,11
18:02:51,2,0,18
18:02:52,0,20,19
18:02:53,20,11,5
18:02:54,15,19,2
18:02:55,6,16,7
18:02:56,7,3,4
18:02:57,2,16,13
18:02:58,6,11,1
18:02:59,19,10,16
18:03:00,14,8,16
18:03:01,2,18,10
18:03:02,9,2,17
18:03:03,0,17,2
18:03:04,11,5,8
18:03:05,9,12,14
18:03:06,1,9,5
18:03:07,5,13,11
18:03:08,17,3,17
18:03:09,5,1,8
18:03:10,0,16,15
18:03:11,4,1,13
18:03:12,4,14,0
18:03:13,4,2,4
18:03:14,0,12,5
18:03:15,18,5,5
18:03:16,5,14,0
18:03:17,10,0,13
18:03:18,19,18,6
18:03:19,19,6,6
18:03:20,7,0,1
18:03:21,20,8,10
18:03:22,13,1,4
18:03:23,4,10,16
18:03:24,2,12,0
18:03:25,19,5,20
18:03:26,9,4,16
18:03:27,7,16,12
18:03:28,2,1,18
18:03:29,16,11,20
18:03:30,0,3,2
18:03:31,5,6,2
18:03:32,18,11,4
18:03:33,17,18,8
18:03:34,19,2,18
18:03:35,5,18,0
18:03:36,1,10,17
18:03:37,9,9,20
18:03:38,17,12,1
18:03:39,10,6,2
18:03:40,9,8,9
18:03:41,9,10,1
18:03:42,9,13,0
18:03:43,18,13,8
18:03:44,3,12,3
18:03:45,17,0,11
18:03:46,10,10,17
18:03:47,1,4,4
18:03:48,8,18,13
18:03:49,19,3,12
18:03:50,13,9,5
18:03:51,1,18,15
18:03:52,8,4,17
18:03:53,13,1,15
18:03:54,1,9,11
18:03:55,10,17,7
18:03:56,17,13,3
18:03:57,18,20,2
18:03:58,9,1,13
18:03:59,20,13,5
18:04:00,4,20,0
18:04:01,6,10,14
18:04:02,15,19,15
18:04:03,5,17,16
18:04:04,4,3,16
18:04:05,8,1,9
18:04:06,6,12,15
18:04:07,0,17,9
18:04:08,15,2,2
18:04:09,7,6,19
18:04:10,18,12,4
18:04:11,9,9,13
18:04:12,9,2,19
18:04:13,16,18,9
18:04:14,1,0,11
18:04:15,20,14,4
18:04:16,9,3,2
18:04:17,12,10,17
18:04:18,2,1,12
18:04:19,20,19,2
18:04:20,19,2,15
18:04:21,7,5,3
18:04:22,1,4,17
18:04:23,0,19,16
18:04:24,10,8,9
18:04:25,9,4,3
18:04:26,5,17,11
18:04:27,18,4,8
18:04:28,3,13,13
18:04:29,1,6,14
18:04:30,1,5,10
18:04:31,13,7,7
18:04:32,16,6,13
18:04:33,17,12,6
18:04:34,5,8,8
18:04:35,8,2,17
18:04:36,6,18,16
18:04:37,14,20,3
18:04:38,16,19,20
18:04:39,0,10,10
18:04:40,7,4,17
18:04:41,4,1,4
18:04:42,0,16,10
18:04:43,5,19,20
18:04:44,19,12,6
18:04:45,9,14,14
18:04:46,12,20,10
18:04:47,1,7,5
18:04:48,2,13,9
18:04:49,6,15,16
18:04:50,8,15,6
18:04:51,6,2,4
18:04:52,19,3,14
18:04:53,6,15,11
18:04:54,5,20,4
18:04:55,15,2,18
18:04:56,3,4,19
18:04:57,19,19,11
18:04:58,9,2,2
18:04:59,18,16,17
18:05:00,10,12,17
18:05:01,11,16,20
18:05:02,1,17,19
18:05:03,16,19,17
18:05:04,8,3,1
18:05:05,14,18,11
18:05:06,11,13,1
18:05:07,15,3,9
18:05:08,13,17,11
18:05:09,7,18,18
18:05:10,8,11,8
18:05:11,14,16,20
18:05:12,5,3,17
18:05:13,3,7,15
18:05:14,14,17,8
18:05:15,10,16,19
18:05:16,1,18,14
18:05:17,3,1,8
18:05:18,1,5,15
18:05:19,15,13,7
18:05:20,13,5,11
18:05:21,5,19,8
18:05:22,14,3,5
18:05:23,4,16,5
18:05:24,11,4,3
18:05:25,9,11,5
18:05:26,8,3,2
18:05:27,19,20,3
18:05:28,20,8,3
18:05:29,13,18,3
18:05:30,0,2,3
18:05:31,2,5,16
18:05:32,8,18,18
18:05:33,18,16,16
18:05:34,14,20,13
18:05:35,8,1,4
18:05:36,16,9,14
18:05:37,8,7,10
18:05:38,11,15,0
18:05:39,9,4,14
18:05:40,6,5,8
18:05:41,18,17,13
18:05:42,3,15,19
18:05:43,14,9,4
18:05:44,14,8,8
18:05:45,11,20,8
18:05:46,12,10,11
18:05:47,1,3,11
18:05:48,20,18,16
18:05:49,0,19,6
18:05:50,9,0,7
18:05:51,5,1,2
18:05:52,20,3,18
18:05:53,6,10,6
18:05:54,19,18,2
18:05:55,12,12,6
18:05:56,19,13,18
18:05:57,9,12,1
18:05:58,1,19,13
18:05:59,19,18,16
18:06:00,3,11,18
18:06:01,0,11,7
18:06:02,18,13,18
18:06:03,20,5,19
18:06:04,11,4,18
18:06:05,8,19,19
18:06:06,13,17,8
18:06:07,17,6,4
18:06:08,19,17,8
18:06:09,14,1,14
18:06:10,2,20,9
18:06:11,0,3,18
18:06:12,14,13,1
18:06:13,2,9,19
18:06:14,14,9,16
18:06:15,0,2,7
18:06:16,4,14,12
18:06:17,11,11,15
18:06:18,16,9,19
18:06:19,17,18,2
18:06:20,15,2,16
18:06:21,17,20,14
18:06:22,14,9,18
18:06:23,14,4,16
18:06:24,5,2,19
18:06:25,10,13,13
18:06:26,20,0,11
18:06:27,20,17,13
18:06:28,0,15,16
18:06:29,5,6,3
18:06:30,15,16,6
18:06:31,1,2,1
18:06:32,17,5,8
18:06:33,18,2,7
18:06:34,19,15,3
18:06:35,9,20,19
18:06:36,18,3,2
18:06:37,12,18,10
18:06:39,16,10,1
18:06:40,15,18,13
18:06:41,18,5,1
18:06:42,5,4,18
18:06:43,17,14,16
18:06:44,14,13,12
18:06:45,8,9,15
18:06:46,11,10,0
18:06:47,7,8,14
18:06:48,2,19,16
18:06:49,17,0,19
18:06:50,5,8,3
18:06:51,10,7,11
18:06:52,19,8,17
18:06:53,5,18,14
18:06:54,19,17,12
18:06:55,18,10,17
18:06:56,7,2,13
18:06:57,4,18,0
18:06:58,17,1,9
18:06:59,0,4,17
18:07:00,11,5,20
18:07:01,2,15,7
18:07:02,18,14,16
18:07:03,16,11,1
18:07:04,20,5,14
18:07:05,9,0,3
18:07:06,1,15,18
18:07:07,0,19,3
18:07:08,0,17,5
18:07:09,14,15,17
18:07:10,14,18,9
18:07:11,1,16,7
18:07:12,16,0,3
18:07:13,17,1,0
18:07:14,13,14,10
18:07:15,2,13,20
18:07:16,0,18,17
18:07:17,0,13,17
18:07:18,1,20,14
18:07:19,18,2,0
18:07:20,3,17,3
18:07:21,17,3,9
18:07:22,19,10,8
18:07:23,16,8,16
18:07:24,10,10,1
18:07:25,17,6,11
18:07:26,1,7,5
18:07:27,13,4,19
18:07:28,17,1,13
18:07:29,6,20,13
18:07:30,4,10,0
18:07:31,15,13,3
18:07:32,18,8,16
18:07:33,11,19,16
18:07:34,6,14,9
18:07:35,1,1,4
18:07:36,7,1,10
18:07:37,19,6,0
18:07:38,16,12,13
18:07:39,13,12,6
18:07:40,1,10,2
18:07:41,0,0,19
18:07:42,8,16,1
18:07:43,11,11,3
18:07:44,19,9,13
18:07:45,16,9,10
18:07:46,0,12,16
18:07:47,5,4,17
18:07:48,16,8,10
18:07:49,19,5,2
18:07:50,20,0,3
18:07:51,7,10,0
18:07:52,17,20,20
18:07:53,14,20,7
18:07:54,2,5,20
18:07:55,15,15,5
18:07:56,17,13,4
18:07:57,4,2,17
18:07:58,15,2,10
18:07:59,3,7,9
18:08:00,19,20,17
18:08:01,5,3,12
18:08:02,0,7,18
18:08:03,20,3,5
18:08:04,3,6,3
18:08:05,10,6,0
18:08:06,8,10,4
18:08:07,2,6,9
18:08:08,20,0,7
18:08:09,11,4,1
18:08:10,1,10,16
18:08:11,15,5,3
18:08:12,9,5,18
18:08:13,8,19,12
18:08:14,4,4,3
18:08:15,14,11,2
18:08:16,3,18,16
18:08:17,8,2,18
18:08:18,20,2,8
18:08:19,0,15,1
18:08:20,4,10,17
18:08:21,7,1,9
18:08:22,12,4,5
18:08:23,6,20,0
18:08:24,3,2,18
18:08:25,14,9,18
18:08:26,4,15,9
18:08:27,13,15,20
18:08:28,16,4,4
18:08:29,7,20,9
18:08:30,18,1,10
18:08:31,3,20,20
18:08:32,7,8,10
18:08:33,7,12,3
18:08:34,15,15,3
18:08:35,9,7,14
18:08:36,7,16,14
18:08:37,0,2,7
18:08:38,18,12,13
18:08:39,10,5,11
18:08:40,15,4,7
18:08:41,11,15,20
18:08:42,12,16,18
18:08:43,10,1,12
18:08:44,2,19,11
18:08:45,1,18,9
18:08:46,16,16,1
18:08:47,5,15,19
18:08:48,11,4,7
18:08:49,14,15,0
18:08:50,14,16,0
18:08:51,7,5,5
18:08:52,5,4,7
18:08:53,11,15,20
18:08:54,17,7,20
18:08:55,11,9,13
18:08:56,17,8,7
18:08:57,9,18,16
18:08:58,8,6,9
18:08:59,14,5,7
18:09:00,18,16,15
18:09:01,17,3,7
18:09:02,16,7,14
18:09:03,14,18,7
18:09:04,13,19,4
18:09:05,20,10,13
18:09:06,1,4,20
18:09:07,7,0,9
18:09:08,3,13,3
18:09:09,19,17,18
18:09:10,6,4,11
18:09:11,2,16,19
18:09:12,18,5,8
18:09:13,14,2,15
18:09:14,0,13,10
18:09:15,7,19,5
18:09:16,0,14,2
18:09:17,16,5,15
18:09:18,10,2,7
18:09:19,2,10,18
18:09:20,11,12,14
18:09:21,9,9,18
18:09:22,11,14,1
18:09:23,18,13,14
18:09:24,5,14,0
18:09:25,11,13,14
18:09:26,2,10,2
18:09:27,2,14,17
18:09:28,19,11,6
18:09:29,17,6,6
18:09:30,6,15,2
18:09:31,14,8,18
18:09:32,20,15,16
18:09:33,0,17,6
18:09:34,9,7,16
18:09:35,18,3,3
18:09:36,1,20,15
18:09:37,12,16,19
18:09:38,0,9,14
18:09:39,9,9,4
18:09:40,9,19,10
18:09:41,11,19,3
18:09:42,9,6,1
18:09:43,11,14,8
18:09:44,19,8,13
18:09:45,1,12,5
18:09:46,16,5,20
18:09:47,10,5,19
18:09:48,3,12,1
18:09:49,10,20,9
18:09:50,11,11,11
18:09:51,10,0,1
18:09:52,6,15,19
18:09:53,7,0,4
18:09:54,15,10,14
18:09:55,10,15,15
18:09:56,13,13,19
18:09:57,2,4,14
18:09:58,11,17,13
18:09:59,12,19,18
18:10:00,4,12,8
18:10:01,20,16,14
18:10:02,0,12,16
18:10:03,18,4,0
18:10:04,18,18,11
18:10:05,6,1,10
18:10:06,10,11,12
18:10:07,3,11,6
18:10:08,20,3,12
18:10:09,1,6,11
18:10:10,14,13,2
18:10:11,20,7,18
18:10:12,20,0,1
18:10:13,15,12,16
18:10:14,16,16,12
18:10:15,14,5,13
18:10:16,11,16,7
18:10:17,10,19,6
18:10:18,3,15,17
18:10:19,10,9,16
18:10:20,16,17,19
18:10:21,0,5,13
18:10:22,16,7,8
18:10:23,19,10,1
18:10:24,6,11,16
18:10:25,0,6,5
18:10:26,7,10,14
18:10:27,6,9,5
18:10:28,16,3,13
18:10:29,13,9,11
18:10:30,6,6,1
18:10:31,17,17,19
18:10:32,7,17,4
18:10:33,13,19,0
18:10:34,4,16,6
18:10:35,13,3,16
18:10:36,18,12,14
18:10:37,15,1,15
18:10:38,9,11,7
18:10:39,3,20,2
18:10:40,15,14,18
18:10:41,6,4,2
18:10:42,13,20,16
18:10:43,4,10,4
18:10:44,1,15,9
18:10:45,19,17,15
18:10:46,3,4,10
18:10:47,16,8,6
18:10:48,19,2,19
18:10:49,4,11,14
18:10:50,4,19,7
18:10:51,8,8,0
18:10:52,12,17,4
18:10:53,4,6,13
18:10:54,19,16,20
18:10:55,8,12,4
18:10:56,18,11,10
18:10:57,15,18,1
18:10:58,9,6,12
18:10:59,0,5,14
18:11:00,19,10,6
18:11:01,1,4,5
18:11:02,17,4,10
18:11:03,13,13,9
18:11:04,18,0,15
18:11:05,17,19,9
18:11:06,10,18,12
18:11:07,11,0,13
18:11:08,18,13,8
18:11:09,4,6,18
18:11:10,15,8,7
18:11:11,1,10,0
18:11:12,15,17,17
18:11:13,17,8,3
18:11:14,14,12,9
18:11:15,15,9,9
18:11:16,6,11,19
18:11:17,10,20,11
18:11:18,2,20,15
18:11:19,9,9,19
18:11:20,3,15,15
18:11:21,17,19,10
18:11:22,3,0,0
18:11:23,2,14,12
18:11:24,9,16,7
18:11:25,16,7,16
18:11:26,12,7,0
18:11:27,1,9,12
18:11:28,4,3,12
18:11:29,5,3,18
18:11:30,13,16,16
18:11:31,1,0,6
18:11:32,19,7,2
18:11:33,20,12,19
18:11:34,12,0,13
18:11:35,11,15,1
18:11:36,8,9,11
18:11:37,6,15,3
18:11:38,17,17,6
18:11:39,3,18,9
18:11:40,5,2,1
18:11:41,13,15,3
18:11:42,13,14,16
18:11:43,11,14,19
18:11:44,12,19,5
18:11:45,17,18,7
18:11:46,15,20,14
18:11:47,3,10,7
18:11:48,9,11,14
18:11:49,11,19,6
18:11:50,11,11,14
18:11:51,11,14,1
18:11:52,7,2,1
18:11:53,9,8,16
18:11:54,16,13,17
18:11:55,11,18,8
18:11:57,19,11,2
18:11:58,17,17,0
18:11:59,18,5,3
18:12:00,13,1,9
18:12:01,19,20,3
18:12:02,11,14,5
18:12:03,15,17,14
18:12:04,6,18,20
18:12:05,20,9,0
18:12:06,1,19,18
18:12:07,7,6,12
18:12:08,18,18,2
18:12:09,6,11,14
18:12:10,15,2,3
18:12:11,12,2,9
18:12:12,1,12,14
18:12:13,1,11,14
18:12:14,12,11,20
18:12:15,20,1,11
18:12:16,13,3,17
18:12:17,7,5,10
18:12:18,17,11,20
18:12:19,12,11,18
18:12:20,9,4,3
18:12:21,0,15,16
18:12:22,1,2,4
18:12:23,4,15,5
18:12:24,13,13,3
18:12:25,1,17,0
18:12:26,10,18,19
18:12:27,2,4,0
18:12:28,17,10,4
18:12:29,1,3,3
18:12:30,7,0,10
18:12:31,19,13,7
18:12:32,10,9,17
18:12:33,9,12,5
18:12:34,0,14,10
18:12:35,0,7,17
18:12:36,4,19,13
18:12:37,20,16,15
18:12:38,2,14,9
18:12:39,9,15,9
18:12:40,14,2,10
18:12:41,6,14,6
18:12:42,0,9,7
18:12:43,4,20,11
18:12:44,3,17,7
18:12:45,4,5,18
18:12:46,18,14,6
18:12:47,0,5,13
18:12:48,11,2,14
18:12:49,13,13,8
18:12:50,18,13,14
18:12:51,3,3,13
18:12:52,2,0,13
18:12:53,3,15,3
18:12:54,9,19,0
18:12:55,19,0,1
18:12:56,10,7,14
18:12:57,19,7,12
18:12:58,1,13,8
18:12:59,7,16,14
18:13:00,19,3,0
18:13:01,2,1,1
18:13:02,2,12,3
18:13:03,3,2,14
18:13:04,15,8,2
18:13:05,13,5,13
18:13:06,2,15,6
18:13:07,12,11,0
18:13:08,1,13,12
18:13:09,17,6,11
18:13:10,15,19,12
18:13:11,6,18,3
18:13:12,0,7,7
18:13:13,20,0,2
18:13:14,8,17,10
18:13:15,16,16,10
18:13:16,15,5,7
18:13:17,14,12,8
18:13:18,5,17,12
18:13:19,17,14,18
18:13:20,15,10,10
18:13:21,11,8,12
18:13:22,8,12,8
18:13:23,16,0,19
18:13:24,13,16,5
18:13:25,6,14,6
18:13:26,4,12,15
18:13:27,6,3,16
18:13:28,20,3,16
18:13:29,20,11,2
18:13:30,19,5,17
18:13:31,20,6,7
18:13:32,14,7,7
18:13:33,3,20,7
18:13:34,10,14,7
18:13:35,3,0,18
18:13:36,9,18,2
18:13:37,17,13,14
18:13:38,9,6,16
18:13:39,11,16,7
18:13:40,7,14,2
18:13:41,15,13,11
18:13:42,8,20,18
18:13:43,17,8,13
18:13:44,7,9,20
18:13:45,15,19,14
18:13:46,10,10,20
18:13:47,15,18,20
18:13:48,10,18,4
18:13:49,0,1,15
18:13:50,8,1,10
18:13:51,16,16,15
18:13:52,4,0,5
18:13:53,15,18,3
18:13:54,9,19,6
18:13:55,0,10,1
18:13:56,15,2,3
18:13:57,4,20,1
18:13:58,5,5,0
18:13:59,16,6,9
18:14:00,13,18,6
18:14:01,16,6,10
18:14:02,15,1,18
18:14:03,11,2,4
18:14:04,18,1,1
18:14:05,20,4,15
18:14:06,8,16,20
18:14:07,12,11,17
18:14:08,8,13,16
18:14:09,10,12,0
18:14:10,14,19,10
18:14:11,5,10,7
18:14:12,2,9,5
18:14:13,18,11,10
18:14:14,8,4,15
